station,lat,lon
twdb228,29.345,-94.206
twdb229,29.234,-96.086
twdb230,29.235,-95.961
twdb231,29.236,-95.835
twdb232,29.236,-95.71
twdb233,29.237,-95.585
twdb234,29.237,-95.46
twdb235,29.238,-95.334
twdb236,29.238,-95.209
twdb237,29.238,-95.084
twdb238,29.238,-94.958
twdb239,29.238,-94.833
twdb240,29.238,-94.708
twdb241,29.237,-94.582
twdb242,29.237,-94.457
twdb243,29.236,-94.332
twdb244,29.236,-94.207
twdb245,29.235,-94.081
twdb246,29.126,-95.96
twdb247,29.126,-95.835
twdb248,29.127,-95.71
twdb249,29.128,-95.584
twdb250,29.128,-95.459
twdb251,29.128,-95.334
twdb252,29.128,-95.209
twdb253,29.129,-95.084
twdb254,29.129,-94.958
twdb255,29.128,-94.833
twdb256,29.128,-94.708
twdb257,29.128,-94.583
twdb258,29.128,-94.458
twdb259,29.127,-94.333
twdb260,29.127,-94.207
twdb261,29.126,-94.082
twdb262,29.016,-95.959
twdb263,29.017,-95.834
twdb264,29.018,-95.709
twdb265,29.018,-95.584
twdb266,29.019,-95.459
twdb267,29.019,-95.334
twdb268,29.019,-95.209
twdb269,29.019,-95.084
twdb270,29.019,-94.959
twdb271,29.019,-94.833
twdb272,29.019,-94.708
twdb273,29.019,-94.583
twdb274,29.018,-94.458
twdb275,29.018,-94.333
twdb276,29.017,-94.208
twdb277,29.017,-94.083
twdb278,29.016,-93.958
twdb279,28.908,-95.833
twdb280,28.908,-95.708
twdb281,28.909,-95.583
twdb282,28.909,-95.458
twdb283,28.91,-95.333
twdb284,28.91,-95.208
twdb285,28.91,-95.084
twdb286,28.91,-94.959
twdb287,28.91,-94.834
twdb288,28.91,-94.709
twdb289,28.909,-94.584
twdb290,28.909,-94.459
twdb291,28.799,-95.707
twdb292,28.799,-95.583
twdb293,28.8,-95.458
twdb294,28.8,-95.333
twdb295,28.8,-95.208
twdb296,28.801,-95.083
twdb297,28.801,-94.959
twdb298,28.801,-94.834
twdb299,28.8,-94.709
twdb300,28.8,-94.584
twdb301,28.69,-95.582
twdb302,28.691,-95.457
twdb303,28.691,-95.333
twdb304,28.691,-95.208
twdb305,28.691,-95.083
twdb306,28.691,-94.959
twdb307,28.691,-94.834
twdb308,28.691,-94.709
twdb309,28.581,-95.582
twdb310,28.581,-95.457
twdb311,28.581,-95.332
twdb312,28.582,-95.208
twdb313,28.582,-95.083
twdb314,28.582,-94.959
twdb315,28.472,-95.457
twdb316,28.472,-95.332
twdb317,28.472,-95.208
twdb318,28.472,-95.083
twdb319,28.362,-95.332
twdb320,30.108,-93.948
twdb321,30.108,-93.822
twdb322,30,-94.075
twdb323,29.999,-93.949
twdb324,29.998,-93.823
twdb325,29.997,-93.697
twdb326,29.892,-94.202
twdb327,29.891,-94.076
twdb328,29.89,-93.95
twdb329,29.889,-93.824
twdb330,29.888,-93.698
twdb331,29.782,-94.203
twdb332,29.782,-94.077
twdb333,29.781,-93.951
twdb334,29.78,-93.825
twdb335,29.779,-93.7
twdb336,29.778,-93.574
twdb337,29.672,-94.078
twdb338,29.672,-93.952
twdb339,29.671,-93.826
twdb340,29.562,-93.953
