lv_HTGL3,ygrid_0,xgrid_0,UGRD_P0_L103_GLC0,VGRD_P0_L103_GLC0,gridlat_0,gridlon_0,station,org_lat,org_lon,speed,dir
10.0,100,327,-3.8572252,2.9299963,28.453312,-97.446884,twdb000,28.453,-97.448,10.835443722372055,127.22076416015625
10.0,100,328,-3.7472253,2.5499964,28.455236,-97.32244,twdb001,28.455,-97.324,10.139083679151536,124.23539733886719
10.0,99,325,-3.3272252,3.7999961,28.339745,-97.6933,twdb002,28.339,-97.695,11.298296742687226,138.7950439453125
10.0,99,326,-3.6072252,3.6999962,28.341867,-97.56897,twdb003,28.341,-97.57,11.559168828163148,135.72738647460938
10.0,99,327,-3.7072253,3.4299963,28.343891,-97.44464,twdb004,28.344,-97.446,11.297851947088242,132.77560424804688
10.0,99,328,-3.5772252,3.1099963,28.345814,-97.32031,twdb005,28.345,-97.322,10.603335085630418,131.00331115722656
10.0,99,329,-3.3272252,2.8599963,28.347637,-97.19597,twdb006,28.347,-97.197,9.814536490373612,130.68150329589844
10.0,98,324,-3.3872252,3.8799963,28.228092,-97.81504,twdb007,28.228,-97.816,11.52136226890564,138.879150390625
10.0,98,325,-3.5272253,3.9799962,28.230314,-97.690834,twdb008,28.23,-97.692,11.896166027088166,138.451416015625
10.0,98,326,-3.7272253,4.0499964,28.232437,-97.56662,twdb009,28.232,-97.568,12.312252576799393,137.37652587890625
10.0,98,327,-3.7772253,4.039996,28.234459,-97.442406,twdb010,28.234,-97.444,12.37191598646164,136.9252471923828
10.0,98,328,-3.6172252,3.9399962,28.236382,-97.318184,twdb011,28.236,-97.319,11.964573883562089,137.4456329345703
10.0,98,329,-3.3272252,3.6999962,28.238201,-97.19396,twdb012,28.238,-97.195,11.13097359826088,138.03651428222656
10.0,98,330,-3.2072253,3.4099963,28.239923,-97.06973,twdb013,28.24,-97.071,10.471738521041871,136.75515747070312
10.0,97,322,-3.8172252,3.6999962,28.11391,-98.06063,twdb014,28.114,-98.062,11.891851403112412,134.1065673828125
10.0,97,323,-3.7272253,3.7699962,28.116333,-97.93655,twdb015,28.116,-97.938,11.858964261846543,135.32687377929688
10.0,97,324,-3.7072253,3.9199963,28.118652,-97.81246,twdb016,28.118,-97.814,12.069092316074371,136.59793090820312
10.0,97,325,-3.8272252,4.0899963,28.120874,-97.68837,twdb017,28.121,-97.689,12.530004022264482,136.90093994140625
10.0,97,326,-3.9872253,4.229996,28.122993,-97.56427,twdb018,28.123,-97.565,13.003306005859375,136.6922607421875
10.0,97,327,-4.177225,4.369996,28.125015,-97.44017,twdb019,28.125,-97.441,13.523051263256074,136.29202270507812
10.0,97,328,-4.177225,4.4899964,28.126934,-97.31606,twdb020,28.126,-97.317,13.718348530893326,137.0667266845703
10.0,97,329,-3.8572252,4.369996,28.128756,-97.19195,twdb021,28.128,-97.193,13.03870298895836,138.56642150878906
10.0,97,330,-3.6372252,3.9699962,28.130474,-97.06784,twdb022,28.13,-97.069,12.044271228332521,137.5047607421875
10.0,96,320,-3.9472253,3.5799963,27.999327,-98.305756,twdb023,27.999,-98.307,11.920384454126358,132.20693969726562
10.0,96,321,-4.1072254,3.5899963,28.001945,-98.1818,twdb024,28.001,-98.183,12.202578995294571,131.1556854248047
10.0,96,322,-4.157225,3.6399963,28.004465,-98.05783,twdb025,28.004,-98.059,12.36040250038147,131.20484924316406
10.0,96,323,-4.0672255,3.7099962,28.006884,-97.93386,twdb026,28.007,-97.935,12.314633353242876,132.37010192871094
10.0,96,324,-4.0372252,3.8999963,28.009203,-97.80989,twdb027,28.009,-97.811,12.556619225587845,134.00949096679688
10.0,96,325,-4.1672254,4.159996,28.011421,-97.685905,twdb028,28.011,-97.687,13.171632873687745,134.9502716064453
10.0,96,326,-4.3172255,4.369996,28.01354,-97.56193,twdb029,28.013,-97.563,13.74131363699913,135.34805297851562
10.0,96,327,-4.527225,4.4199963,28.015558,-97.437935,twdb030,28.015,-97.439,14.153333026952744,134.31336975097656
10.0,96,328,-4.757225,4.409996,28.017477,-97.31394,twdb031,28.017,-97.315,14.510699091005327,132.83084106445312
10.0,96,329,-4.697225,4.329996,28.019297,-97.18995,twdb032,28.019,-97.191,14.290666068115236,132.6704864501953
10.0,96,330,-4.4972253,3.9499962,28.021013,-97.06595,twdb033,28.021,-97.067,13.389446185207367,131.29344177246094
10.0,95,321,-4.3372254,3.4299963,27.892488,-98.178894,twdb034,27.892,-98.18,12.36936774500847,128.33792114257812
10.0,95,322,-4.4572253,3.4499962,27.895006,-98.05504,twdb035,27.895,-98.056,12.608354180364609,127.74072265625
10.0,95,323,-4.447225,3.5599964,27.897423,-97.93118,twdb036,27.897,-97.932,12.742978981657028,128.67721557617188
10.0,95,324,-4.4572253,3.7899961,27.89974,-97.80732,twdb037,27.899,-97.809,13.087710504055025,130.37464904785156
10.0,95,325,-4.5472255,4.0699964,27.901958,-97.68346,twdb038,27.902,-97.685,13.651223861722947,131.8301544189453
10.0,95,326,-4.6472254,4.3599963,27.904076,-97.559586,twdb039,27.904,-97.561,14.254463759651186,133.1735382080078
10.0,95,327,-4.697225,4.519996,27.906092,-97.43571,twdb040,27.906,-97.437,14.582083984689714,133.89846801757812
10.0,95,328,-4.947225,4.349996,27.908009,-97.31183,twdb041,27.908,-97.313,14.73624032606125,131.3245391845703
10.0,95,329,-5.1872253,4.019996,27.909826,-97.18794,twdb042,27.909,-97.189,14.680135281190873,127.77497863769531
10.0,95,330,-5.1272254,3.6699963,27.911543,-97.06406,twdb043,27.911,-97.065,14.104666841812135,125.59455871582031
10.0,95,331,-4.8972254,3.2999964,27.91316,-96.94017,twdb044,27.913,-96.941,13.209844762268068,123.97407531738281
10.0,94,322,-4.677225,3.2499962,27.785538,-98.05225,twdb045,27.785,-98.053,12.740528872566223,124.79373168945312
10.0,94,323,-4.8172255,3.3899963,27.787952,-97.928505,twdb046,27.788,-97.93,13.176647224073411,125.13497924804688
10.0,94,324,-4.8972254,3.5899963,27.790268,-97.804756,twdb047,27.79,-97.806,13.583014403285981,126.24394226074219
