lv_HTGL3,ygrid_0,xgrid_0,UGRD_P0_L103_GLC0,VGRD_P0_L103_GLC0,gridlat_0,gridlon_0,station,org_lat,org_lon,speed,dir
10.0,95,331,-6.0735483,3.8626294,27.91316,-96.94017,twdb044,27.913,-96.941,16.100979889354708,122.45538330078125
10.0,94,322,-6.4035482,4.202629,27.785538,-98.05225,twdb045,27.785,-98.053,17.13378033700943,123.27677917480469
10.0,94,323,-6.3235483,4.3426294,27.787952,-97.928505,twdb046,27.788,-97.93,17.159779013099673,124.47892761230469
10.0,94,324,-6.2735486,4.472629,27.790268,-97.804756,twdb047,27.79,-97.806,17.234867336807252,125.48638916015625
10.0,94,325,-6.2835484,4.5926294,27.792482,-97.68101,twdb048,27.792,-97.682,17.41012320274353,126.16297912597656
10.0,94,326,-6.3735485,4.8226295,27.794598,-97.55724,twdb049,27.794,-97.558,17.87871803291321,127.11346435546875
10.0,94,327,-6.3035483,5.0026293,27.796614,-97.43349,twdb050,27.796,-97.435,18.001603217029572,128.43626403808594
10.0,94,328,-6.2535486,4.832629,27.798529,-97.309715,twdb051,27.798,-97.311,17.679069874992372,127.69621276855469
10.0,94,329,-6.3735485,4.472629,27.800344,-97.18594,twdb052,27.8,-97.187,17.4174948631382,125.05921936035156
10.0,94,330,-6.3835483,4.202629,27.802061,-97.06217,twdb053,27.802,-97.063,17.09639617357254,123.35903930664062
10.0,94,331,-6.3035483,4.0326295,27.803677,-96.93839,twdb054,27.803,-96.94,16.739250907335283,122.60865783691406
10.0,94,332,-5.9735484,3.8226292,27.805191,-96.81461,twdb055,27.805,-96.816,15.864269698143007,122.61624145507812
10.0,93,322,-6.423548,4.2626295,27.676058,-98.04947,twdb056,27.676,-98.051,17.24504963605881,123.56803894042969
10.0,93,323,-6.4035482,4.4226294,27.678473,-97.925835,twdb057,27.678,-97.927,17.408665083837512,124.63101196289062
10.0,93,324,-6.3735485,4.5026293,27.680784,-97.8022,twdb058,27.68,-97.803,17.45613021419525,125.23951721191406
10.0,93,325,-6.4135485,4.5226293,27.682999,-97.67856,twdb059,27.683,-97.68,17.5550305689621,125.19027709960938
10.0,93,326,-6.5235486,4.582629,27.685112,-97.55492,twdb060,27.685,-97.556,17.833501413640978,125.08708190917969
10.0,93,327,-6.4835486,4.6726294,27.687126,-97.43127,twdb061,27.687,-97.432,17.877317513437273,125.77992248535156
10.0,93,328,-6.3435483,4.622629,27.68904,-97.30761,twdb062,27.689,-97.309,17.558099338598254,126.08134460449219
10.0,93,329,-6.3635483,4.432629,27.690853,-97.18395,twdb063,27.691,-97.185,17.347891285161975,124.8597412109375
