lv_HTGL3,ygrid_0,xgrid_0,UGRD_P0_L103_GLC0,VGRD_P0_L103_GLC0,gridlat_0,gridlon_0,station,org_lat,org_lon,speed,dir
10.0,100,327,-2.2938147,2.9283726,28.453312,-97.446884,twdb000,28.453,-97.448,8.320981668305398,141.92816162109375
10.0,100,328,-2.7538147,2.9383729,28.455236,-97.32244,twdb001,28.455,-97.324,9.008380200195313,136.8570556640625
10.0,99,325,-2.0938146,2.8683727,28.339745,-97.6933,twdb002,28.339,-97.695,7.9440104649019245,143.87183380126953
10.0,99,326,-2.2138147,3.0883727,28.341867,-97.56897,twdb003,28.341,-97.57,8.500083896183968,144.36620330810547
10.0,99,327,-2.4338145,3.2783728,28.343891,-97.44464,twdb004,28.344,-97.446,9.133506428804399,143.4103775024414
10.0,99,328,-2.7438147,3.3583727,28.345814,-97.32031,twdb005,28.345,-97.322,9.700994147148133,140.7509307861328
10.0,99,329,-3.0238147,3.2683728,28.347637,-97.19597,twdb006,28.347,-97.197,9.960216115617753,137.22579956054688
10.0,98,324,-2.3938146,2.7583728,28.228092,-97.81504,twdb007,28.228,-97.816,8.1698759634161,139.04737854003906
10.0,98,325,-2.4338145,2.9283726,28.230314,-97.690834,twdb008,28.23,-97.692,8.517667188873292,140.26953125
10.0,98,326,-2.5538146,3.2183728,28.232437,-97.56662,twdb009,28.232,-97.568,9.190501064872743,141.56761169433594
10.0,98,327,-2.7138147,3.5483727,28.234459,-97.442406,twdb010,28.234,-97.444,9.992824859638215,142.59104919433594
10.0,98,328,-2.8738146,3.8183727,28.236382,-97.318184,twdb011,28.236,-97.319,10.690321958274842,143.03386688232422
10.0,98,329,-3.0038147,3.7983727,28.238201,-97.19396,twdb012,28.238,-97.195,10.832550950994492,141.66249084472656
10.0,98,330,-3.3438146,3.5583727,28.239923,-97.06973,twdb013,28.24,-97.071,10.922846590900422,136.78050231933594
10.0,97,322,-2.7338147,2.5383728,28.11391,-98.06063,twdb014,28.114,-98.062,8.345039030270577,132.87701416015625
10.0,97,323,-2.7538147,2.5183728,28.116333,-97.93655,twdb015,28.116,-97.938,8.347622471375466,132.44302368164062
10.0,97,324,-2.7738147,2.6383727,28.118652,-97.81246,twdb016,28.118,-97.814,8.563436869339943,133.56646728515625
10.0,97,325,-2.8438146,2.8383727,28.120874,-97.68837,twdb017,28.121,-97.689,8.987834270153046,134.94512939453125
10.0,97,326,-2.9838147,3.0983727,28.122993,-97.56427,twdb018,28.123,-97.565,9.622239726381302,136.07904052734375
10.0,97,327,-3.2838147,3.5083728,28.125015,-97.44017,twdb019,28.125,-97.441,10.749448839912414,136.89358520507812
10.0,97,328,-3.4738147,3.9683728,28.126934,-97.31606,twdb020,28.126,-97.317,11.7976848681736,138.80191040039062
10.0,97,329,-3.4338145,4.118373,28.128756,-97.19195,twdb021,28.128,-97.193,11.994687718935014,140.17935180664062
10.0,97,330,-3.6438146,3.8283727,28.130474,-97.06784,twdb022,28.13,-97.069,11.822777953224183,136.41490173339844
10.0,96,320,-2.8238146,2.6283727,27.999327,-98.305756,twdb023,27.999,-98.307,8.629565815029144,132.94703674316406
10.0,96,321,-2.9638147,2.4983728,28.001945,-98.1818,twdb024,28.001,-98.183,8.671155270190239,130.12950134277344
10.0,96,322,-3.0838146,2.3783727,28.004465,-98.05783,twdb025,28.004,-98.059,8.711601803326607,127.6409912109375
10.0,96,323,-3.1138146,2.3383727,28.006884,-97.93386,twdb026,28.007,-97.935,8.710814611115456,126.90536499023438
10.0,96,324,-3.1638145,2.4383729,28.009203,-97.80989,twdb027,28.009,-97.811,8.935276390185356,127.62168884277344
10.0,96,325,-3.2838147,2.6483727,28.011421,-97.685905,twdb028,28.011,-97.687,9.436948759737016,128.88592529296875
