lv_HTGL3,ygrid_0,xgrid_0,UGRD_P0_L103_GLC0,VGRD_P0_L103_GLC0,gridlat_0,gridlon_0,station,org_lat,org_lon,speed,dir
10.0,100,327,-4.604552,1.837589,28.453312,-97.446884,twdb000,28.453,-97.448,11.090041736593248,111.75601196289062
10.0,100,328,-4.124552,1.697589,28.455236,-97.32244,twdb001,28.455,-97.324,9.97728794670105,112.37117004394531
10.0,99,325,-4.7245517,3.427589,28.339745,-97.6933,twdb002,28.339,-97.695,13.056862809276582,125.96031188964844
10.0,99,326,-4.754552,3.107589,28.341867,-97.56897,twdb003,28.341,-97.57,12.705912681741715,123.16874694824219
10.0,99,327,-4.494552,2.777589,28.343891,-97.44464,twdb004,28.344,-97.446,11.819005190553666,121.71566772460938
10.0,99,328,-4.084552,2.587589,28.345814,-97.32031,twdb005,28.345,-97.322,10.816057247524261,122.35450744628906
10.0,99,329,-3.684552,2.517589,28.347637,-97.19597,twdb006,28.347,-97.197,9.982412162666321,124.34410095214844
10.0,98,324,-4.674552,3.947589,28.228092,-97.81504,twdb007,28.228,-97.816,13.686507779273988,130.18060302734375
10.0,98,325,-4.774552,3.917589,28.230314,-97.690834,twdb008,28.23,-97.692,13.815499569635392,129.36936950683594
10.0,98,326,-4.794552,3.897589,28.232437,-97.56662,twdb009,28.232,-97.568,13.821850440130234,129.10836791992188
10.0,98,327,-4.594552,3.847589,28.234459,-97.442406,twdb010,28.234,-97.444,13.405570825662613,129.94363403320312
10.0,98,328,-4.234552,3.777589,28.236382,-97.318184,twdb011,28.236,-97.319,12.693842401170732,131.73574829101562
10.0,98,329,-3.8245518,3.587589,28.238201,-97.19396,twdb012,28.238,-97.195,11.730183669395448,133.16891479492188
10.0,98,330,-3.664552,3.377589,28.239923,-97.06973,twdb013,28.24,-97.071,11.14818942791939,132.66653442382812
10.0,97,322,-4.9545517,3.887589,28.11391,-98.06063,twdb014,28.114,-98.062,14.087559811077119,128.1195068359375
10.0,97,323,-4.864552,3.9775891,28.116333,-97.93655,twdb015,28.116,-97.938,14.056295053758623,129.2717742919922
10.0,97,324,-4.874552,4.097589,28.118652,-97.81246,twdb016,28.118,-97.814,14.244845721483232,130.05068969726562
10.0,97,325,-4.964552,4.227589,28.120874,-97.68837,twdb017,28.121,-97.689,14.586373008918763,130.41622924804688
10.0,97,326,-5.004552,4.337589,28.122993,-97.56427,twdb018,28.123,-97.565,14.814592617473604,130.91641235351562
10.0,97,327,-5.054552,4.457589,28.125015,-97.44017,twdb019,28.125,-97.441,15.075481769447327,131.408935546875
10.0,97,328,-4.8945518,4.557589,28.126934,-97.31606,twdb020,28.126,-97.317,14.960472774066925,132.95831298828125
10.0,97,329,-4.4745517,4.407589,28.128756,-97.19195,twdb021,28.128,-97.193,14.049773518285752,134.5680694580078
10.0,97,330,-4.234552,3.9675891,28.130474,-97.06784,twdb022,28.13,-97.069,12.980651296682359,133.13580322265625
10.0,96,320,-5.1645517,3.817589,27.999327,-98.305756,twdb023,27.999,-98.307,14.366412518644333,126.47148132324219
10.0,96,321,-5.324552,3.867589,28.001945,-98.1818,twdb024,28.001,-98.183,14.721222874650957,125.99349975585938
10.0,96,322,-5.304552,3.907589,28.004465,-98.05783,twdb025,28.004,-98.059,14.73794164256096,126.37716674804688
10.0,96,323,-5.1445518,3.9775891,28.006884,-97.93386,twdb026,28.007,-97.935,14.5465835359478,127.7099609375
10.0,96,324,-5.094552,4.147589,28.009203,-97.80989,twdb027,28.009,-97.811,14.695343664045335,129.14981079101562
10.0,96,325,-5.1845517,4.377589,28.011421,-97.685905,twdb028,28.011,-97.687,15.178731947841646,130.17616271972656
10.0,96,326,-5.274552,4.547589,28.01354,-97.56193,twdb029,28.013,-97.563,15.57871945684433,130.76710510253906
10.0,96,327,-5.404552,4.567589,28.015558,-97.437935,twdb030,28.015,-97.439,15.82894738097191,130.20240783691406
10.0,96,328,-5.524552,4.567589,28.017477,-97.31394,twdb031,28.017,-97.315,16.034903743143083,129.58326721191406
10.0,96,329,-5.424552,4.477589,28.019297,-97.18995,twdb032,28.019,-97.191,15.734225118198395,129.5373077392578
10.0,96,330,-5.2045517,4.037589,28.021013,-97.06595,twdb033,28.021,-97.067,14.734879272861482,127.80360412597656
